name,imp
item_id,131711
event_name_1,34989
tm_w,21687
tm_d,20487
rolling_mean_180,17225
rolling_mean_tmp_1_7,16714
rolling_std_180,16438
rolling_std_7,15894
rolling_mean_tmp_7_7,15159
rolling_std_60,15035
rolling_mean_60,13751
rolling_mean_tmp_1_14,13678
rolling_std_14,13568
rolling_std_30,13295
rolling_mean_tmp_14_14,13195
rolling_mean_tmp_7_14,12957
tm_dw,12793
rolling_mean_tmp_14_7,12779
price_momentum_m,12727
rolling_mean_30,11096
rolling_mean_tmp_1_30,10901
rolling_mean_14,10813
rolling_mean_tmp_14_60,10601
rolling_mean_7,10526
rolling_mean_tmp_7_30,10097
rolling_mean_tmp_14_30,9970
rolling_mean_tmp_1_60,9713
rolling_mean_tmp_7_60,9570
enc_item_id_store_id_std,9144
sales_lag_42,9061
enc_item_id_store_id_mean,8890
item_nunique,8888
sales_lag_39,8625
tm_m,8570
sales_lag_41,8512
sales_lag_28,8483
sales_lag_38,8477
sales_lag_35,8458
sales_lag_37,8435
sales_lag_40,8342
price_momentum_y,8139
sales_lag_36,8092
sales_lag_32,8031
sales_lag_34,8026
price_std,7954
sales_lag_31,7931
sales_lag_29,7857
sales_lag_33,7836
sales_lag_30,7829
price_norm,7326
release,7168
sell_price,6789
price_min,6699
price_mean,6414
price_max,6266
tm_y,5918
tm_wm,3512
price_nunique,3313
dept_id,2949
price_momentum,2813
snap_WI,2354
snap_TX,2096
tm_w_end,1492
snap_CA,1387
enc_store_id_dept_id_mean,1100
event_type_1,960
enc_store_id_dept_id_std,448
event_name_2,24
event_type_2,23
