name,imp
item_id,125893
event_name_1,33657
tm_w,20394
tm_d,19990
rolling_mean_tmp_1_7,16827
rolling_mean_180,16333
rolling_mean_tmp_7_7,15230
rolling_std_7,15226
rolling_std_180,15153
rolling_std_60,14568
price_momentum_m,14321
rolling_mean_tmp_1_14,13671
tm_dw,13385
rolling_mean_tmp_14_14,12908
rolling_std_14,12888
rolling_mean_tmp_7_14,12822
rolling_mean_tmp_14_7,12784
rolling_mean_60,12728
rolling_std_30,12663
rolling_mean_tmp_1_30,11117
rolling_mean_7,10583
rolling_mean_30,10574
rolling_mean_14,10193
price_momentum_y,10065
rolling_mean_tmp_14_60,10021
rolling_mean_tmp_7_30,9928
rolling_mean_tmp_1_60,9864
sales_lag_42,9723
rolling_mean_tmp_14_30,9614
sales_lag_35,9250
rolling_mean_tmp_7_60,9242
sales_lag_39,9220
sales_lag_28,9145
sales_lag_41,9130
enc_item_id_store_id_std,9114
sales_lag_34,9070
sales_lag_40,8969
sales_lag_37,8830
sales_lag_38,8827
item_nunique,8798
sales_lag_32,8792
sales_lag_36,8600
sales_lag_29,8576
sales_lag_33,8492
sales_lag_30,8490
enc_item_id_store_id_mean,8395
sales_lag_31,8230
price_std,8179
price_norm,7917
price_min,7722
tm_m,7695
sell_price,7146
price_mean,6909
price_max,6369
release,6112
tm_y,5415
price_momentum,5103
price_nunique,4114
tm_wm,3569
dept_id,2873
snap_TX,2775
snap_WI,1991
tm_w_end,1722
snap_CA,1425
enc_store_id_dept_id_mean,1108
event_type_1,824
enc_store_id_dept_id_std,679
event_name_2,39
event_type_2,21
