name,imp
item_id,130429
event_name_1,34314
tm_w,20371
tm_d,19230
rolling_mean_tmp_1_7,16994
rolling_mean_180,15697
rolling_mean_tmp_7_7,15467
rolling_std_7,14903
rolling_std_180,14864
rolling_std_60,13883
price_momentum_m,13590
rolling_mean_tmp_1_14,13443
tm_dw,12962
rolling_std_14,12934
rolling_mean_tmp_7_14,12839
rolling_mean_tmp_14_7,12626
rolling_mean_tmp_14_14,12550
rolling_std_30,12534
rolling_mean_60,12355
rolling_mean_tmp_1_30,10700
rolling_mean_7,10566
rolling_mean_30,10453
rolling_mean_14,9871
sales_lag_42,9753
rolling_mean_tmp_1_60,9662
rolling_mean_tmp_7_30,9651
rolling_mean_tmp_14_60,9644
sales_lag_35,9455
sales_lag_28,9455
rolling_mean_tmp_14_30,9439
sales_lag_31,9403
sales_lag_39,9398
sales_lag_41,9379
sales_lag_40,9197
sales_lag_32,9194
sales_lag_37,9151
sales_lag_34,9114
rolling_mean_tmp_7_60,9039
price_momentum_y,9018
enc_item_id_store_id_std,9009
sales_lag_36,8993
sales_lag_30,8972
sales_lag_38,8911
sales_lag_29,8883
item_nunique,8786
sales_lag_33,8782
price_std,8557
enc_item_id_store_id_mean,8405
price_norm,7828
tm_m,7745
price_min,7632
sell_price,7442
price_mean,6747
price_max,6410
release,5692
tm_y,5350
price_momentum,4440
price_nunique,3809
tm_wm,3315
dept_id,2763
snap_TX,2716
snap_WI,1864
tm_w_end,1677
snap_CA,1401
enc_store_id_dept_id_mean,961
event_type_1,915
enc_store_id_dept_id_std,424
event_name_2,27
event_type_2,17
