name,imp
item_id,128055
event_name_1,30600
tm_w,22770
tm_d,22093
rolling_std_180,19282
rolling_mean_180,19263
rolling_std_60,17804
rolling_std_30,16894
rolling_mean_tmp_1_7,16760
rolling_std_14,16639
rolling_std_7,16575
rolling_mean_60,15574
rolling_mean_tmp_1_14,14863
rolling_mean_tmp_7_14,14056
rolling_mean_tmp_7_7,13838
rolling_mean_tmp_14_14,13661
rolling_mean_tmp_14_7,12798
rolling_mean_30,12773
rolling_mean_tmp_1_30,12767
rolling_mean_tmp_14_60,12528
tm_dw,12262
rolling_mean_tmp_14_30,12066
rolling_mean_tmp_7_60,11889
rolling_mean_tmp_1_60,11844
rolling_mean_tmp_7_30,11721
rolling_mean_14,11660
rolling_mean_7,10829
enc_item_id_store_id_mean,10408
enc_item_id_store_id_std,10285
price_momentum_m,9783
item_nunique,9295
tm_m,8686
release,8073
price_std,7743
sales_lag_41,7646
sales_lag_39,7453
sales_lag_42,7427
sales_lag_37,7296
price_min,7258
sales_lag_32,7143
sales_lag_38,7131
sales_lag_35,7048
sales_lag_34,6981
sales_lag_28,6976
sales_lag_36,6970
sales_lag_29,6918
sales_lag_31,6896
sales_lag_33,6883
sell_price,6840
sales_lag_40,6768
sales_lag_30,6691
tm_y,6678
price_max,6211
price_mean,6188
price_momentum_y,4249
price_norm,4194
tm_wm,3712
snap_TX,2271
snap_WI,2254
price_nunique,1996
tm_w_end,1624
snap_CA,1512
dept_id,1508
price_momentum,1219
event_type_1,853
enc_store_id_dept_id_mean,730
enc_store_id_dept_id_std,271
event_name_2,43
event_type_2,25
