name,imp
item_id,129766
event_name_1,32329
rolling_mean_tmp_1_7,18774
tm_d,17864
tm_w,17720
rolling_mean_tmp_7_7,15937
rolling_std_7,15248
rolling_std_180,14254
rolling_mean_180,14069
rolling_std_60,13834
rolling_mean_tmp_1_14,13828
rolling_mean_tmp_14_7,13351
rolling_std_30,13092
rolling_std_14,12758
rolling_mean_tmp_7_14,12249
sales_lag_42,12098
sales_lag_35,12087
rolling_mean_tmp_14_14,12004
sales_lag_39,11890
tm_dw,11813
sales_lag_28,11782
sales_lag_41,11723
sales_lag_40,11687
price_momentum_m,11657
sales_lag_32,11429
sales_lag_37,11204
sales_lag_36,11192
sales_lag_38,11085
sales_lag_33,11026
rolling_mean_7,11006
rolling_mean_60,10893
sales_lag_34,10863
sales_lag_31,10744
sales_lag_30,10734
sales_lag_29,10541
rolling_mean_14,10060
price_momentum_y,9823
rolling_mean_tmp_1_30,9756
rolling_mean_30,9675
rolling_mean_tmp_7_30,8726
enc_item_id_store_id_std,8724
rolling_mean_tmp_14_30,8615
rolling_mean_tmp_14_60,8586
rolling_mean_tmp_1_60,8163
rolling_mean_tmp_7_60,7926
enc_item_id_store_id_mean,7904
price_std,7149
item_nunique,7087
price_norm,7059
tm_m,6775
price_mean,5773
price_min,5710
sell_price,5678
price_max,5558
tm_y,4814
release,4580
price_momentum,4260
tm_wm,3042
price_nunique,2991
dept_id,2346
snap_CA,1750
snap_WI,1618
snap_TX,1590
tm_w_end,1490
event_type_1,843
enc_store_id_dept_id_mean,748
enc_store_id_dept_id_std,616
event_type_2,19
event_name_2,15
