name,imp
item_id,120113
event_name_1,30642
tm_w,23678
tm_d,22972
rolling_mean_180,19643
rolling_std_180,18953
rolling_std_60,17264
rolling_mean_tmp_1_7,16497
rolling_std_30,15985
rolling_std_7,15238
rolling_mean_60,15030
rolling_std_14,14873
rolling_mean_tmp_7_7,14527
rolling_mean_tmp_1_14,14378
tm_dw,13913
rolling_mean_tmp_14_14,13319
rolling_mean_tmp_7_14,12975
rolling_mean_tmp_14_7,12949
rolling_mean_30,12305
rolling_mean_tmp_1_30,12219
rolling_mean_tmp_14_60,12088
rolling_mean_tmp_1_60,11804
price_momentum_m,11749
rolling_mean_tmp_14_30,11694
rolling_mean_14,11429
rolling_mean_tmp_7_30,11402
rolling_mean_tmp_7_60,11243
rolling_mean_7,10550
enc_item_id_store_id_std,10507
enc_item_id_store_id_mean,10068
item_nunique,9842
tm_m,9195
price_std,8700
price_min,8695
release,8694
sales_lag_42,7974
sell_price,7928
sales_lag_39,7665
sales_lag_41,7619
sales_lag_40,7604
sales_lag_37,7480
sales_lag_35,7295
sales_lag_36,7157
sales_lag_38,7094
sales_lag_34,7089
sales_lag_28,7067
tm_y,7033
sales_lag_29,6961
sales_lag_32,6852
sales_lag_30,6834
sales_lag_31,6769
sales_lag_33,6769
price_mean,6727
price_max,6548
price_momentum_y,5691
price_norm,5519
tm_wm,3882
snap_TX,2511
price_nunique,2499
snap_WI,2421
tm_w_end,1833
price_momentum,1684
snap_CA,1632
dept_id,1067
event_type_1,950
enc_store_id_dept_id_mean,478
enc_store_id_dept_id_std,201
event_type_2,20
event_name_2,14
