name,imp
item_id,102314
tm_d,24571
tm_w,23447
rolling_mean_180,22754
rolling_std_180,22617
rolling_std_60,20943
rolling_std_30,19086
event_name_1,18936
rolling_mean_60,17011
rolling_std_14,16834
rolling_mean_tmp_1_7,16674
rolling_mean_tmp_1_14,16464
rolling_std_7,15375
rolling_mean_tmp_7_14,15326
rolling_mean_tmp_14_14,15101
rolling_mean_tmp_1_30,15017
rolling_mean_tmp_14_60,14748
rolling_mean_tmp_1_60,14422
tm_dw,14375
rolling_mean_tmp_7_7,14300
rolling_mean_30,14299
price_momentum_m,14016
rolling_mean_tmp_14_30,13994
rolling_mean_tmp_7_60,13984
rolling_mean_tmp_7_30,13644
rolling_mean_tmp_14_7,13410
rolling_mean_14,12798
rolling_mean_7,11591
enc_item_id_store_id_std,11356
enc_item_id_store_id_mean,10103
tm_m,9274
item_nunique,7910
price_std,7799
sales_lag_42,7361
release,7320
price_min,6902
sell_price,6841
sales_lag_28,6768
sales_lag_33,6709
sales_lag_32,6692
sales_lag_39,6676
tm_y,6672
sales_lag_41,6661
sales_lag_30,6660
sales_lag_36,6617
sales_lag_35,6592
sales_lag_37,6527
sales_lag_31,6434
sales_lag_29,6434
sales_lag_40,6343
sales_lag_34,6220
sales_lag_38,6078
price_max,5794
price_norm,5681
price_momentum_y,5528
price_mean,5490
tm_wm,4167
snap_WI,2682
snap_TX,2591
price_nunique,2204
tm_w_end,1684
snap_CA,1653
price_momentum,1036
dept_id,1011
event_type_1,734
enc_store_id_dept_id_mean,521
enc_store_id_dept_id_std,215
event_type_2,5
event_name_2,4
