name,imp
item_id,90441
tm_w,22684
tm_d,22361
rolling_std_180,19537
event_name_1,19533
rolling_mean_180,19369
rolling_mean_tmp_1_7,18911
rolling_std_60,18861
rolling_std_7,17623
rolling_std_30,17571
rolling_std_14,17188
rolling_mean_tmp_1_14,16958
rolling_mean_tmp_7_7,15941
rolling_mean_60,15578
rolling_mean_tmp_14_14,15494
rolling_mean_tmp_14_7,15405
rolling_mean_tmp_7_14,15337
rolling_mean_30,14577
rolling_mean_14,14396
tm_dw,13897
rolling_mean_7,13574
rolling_mean_tmp_1_30,13550
rolling_mean_tmp_14_30,13123
rolling_mean_tmp_7_30,12669
rolling_mean_tmp_14_60,12372
rolling_mean_tmp_1_60,12317
rolling_mean_tmp_7_60,12166
price_momentum_m,11890
sales_lag_41,9835
sales_lag_37,9621
enc_item_id_store_id_std,9605
sales_lag_39,9604
sales_lag_40,9523
sales_lag_42,9392
sales_lag_38,9334
sales_lag_33,9295
sales_lag_36,9226
sales_lag_35,9159
sales_lag_31,9118
sales_lag_32,9109
enc_item_id_store_id_mean,9073
sales_lag_29,9003
sales_lag_30,9000
sales_lag_34,8906
sales_lag_28,8797
tm_m,8689
release,8144
item_nunique,6656
tm_y,6353
price_std,6195
sell_price,6167
price_min,5729
price_max,4823
price_mean,4358
price_momentum_y,4110
tm_wm,3859
price_norm,3654
snap_TX,2470
snap_WI,2359
price_nunique,1605
tm_w_end,1561
snap_CA,1535
price_momentum,696
event_type_1,667
enc_store_id_dept_id_mean,644
dept_id,540
enc_store_id_dept_id_std,258
event_type_2,3
event_name_2,2
