name,imp
item_id,134632
event_name_1,33515
tm_w,21307
tm_d,19958
rolling_mean_tmp_1_7,16688
rolling_mean_180,16205
rolling_std_180,15150
rolling_mean_tmp_7_7,14916
rolling_std_7,14778
rolling_std_60,14258
rolling_mean_60,12930
rolling_std_30,12822
rolling_mean_tmp_1_14,12785
rolling_mean_tmp_14_7,12722
rolling_std_14,12661
tm_dw,12568
rolling_mean_tmp_7_14,12435
price_momentum_m,12256
rolling_mean_tmp_14_14,12228
rolling_mean_7,10459
rolling_mean_tmp_1_30,10458
sales_lag_42,10375
rolling_mean_30,10271
sales_lag_28,10145
sales_lag_39,10027
sales_lag_41,9911
sales_lag_35,9889
rolling_mean_14,9837
sales_lag_37,9722
sales_lag_38,9652
rolling_mean_tmp_14_60,9650
sales_lag_36,9576
sales_lag_40,9545
rolling_mean_tmp_7_30,9490
sales_lag_32,9406
sales_lag_29,9317
enc_item_id_store_id_std,9296
sales_lag_33,9283
sales_lag_31,9260
rolling_mean_tmp_1_60,9225
sales_lag_34,9180
rolling_mean_tmp_14_30,9166
sales_lag_30,9027
rolling_mean_tmp_7_60,8896
enc_item_id_store_id_mean,8735
item_nunique,8671
tm_m,8108
price_std,7969
price_momentum_y,7280
price_norm,7049
sell_price,6723
price_max,6591
price_mean,6383
release,6039
price_min,5872
tm_y,5535
tm_wm,3481
price_nunique,3030
dept_id,2806
price_momentum,2357
snap_CA,1952
snap_TX,1921
snap_WI,1870
tm_w_end,1527
enc_store_id_dept_id_mean,1049
event_type_1,888
enc_store_id_dept_id_std,228
event_name_2,36
event_type_2,23
