name,imp
item_id,126043
event_name_1,30999
tm_w,23453
tm_d,22427
rolling_mean_180,20542
rolling_std_180,19987
rolling_std_60,18431
rolling_std_30,17250
rolling_std_14,16519
rolling_std_7,16194
rolling_mean_tmp_1_7,16040
rolling_mean_60,15897
rolling_mean_tmp_1_14,14935
rolling_mean_tmp_7_7,13740
tm_dw,13693
rolling_mean_tmp_14_14,13282
rolling_mean_30,13260
rolling_mean_tmp_7_14,13190
rolling_mean_tmp_14_60,12935
rolling_mean_tmp_1_30,12749
rolling_mean_tmp_1_60,12389
rolling_mean_tmp_14_7,12135
rolling_mean_tmp_14_30,12028
rolling_mean_tmp_7_60,11946
rolling_mean_tmp_7_30,11852
rolling_mean_14,11445
enc_item_id_store_id_std,10760
enc_item_id_store_id_mean,10494
rolling_mean_7,10298
price_momentum_m,10240
item_nunique,10093
tm_m,8968
release,8812
price_std,8270
price_min,7831
sell_price,7425
sales_lag_42,6922
sales_lag_39,6906
sales_lag_40,6879
sales_lag_37,6729
tm_y,6715
sales_lag_35,6711
price_mean,6653
price_max,6651
sales_lag_36,6646
sales_lag_41,6622
sales_lag_28,6521
sales_lag_34,6518
sales_lag_32,6503
sales_lag_29,6439
sales_lag_38,6398
sales_lag_33,6371
sales_lag_31,6253
sales_lag_30,6243
price_momentum_y,4488
price_norm,4341
tm_wm,3856
snap_WI,2325
snap_TX,2244
price_nunique,2090
tm_w_end,1704
snap_CA,1662
dept_id,1211
price_momentum,1028
event_type_1,957
enc_store_id_dept_id_mean,577
enc_store_id_dept_id_std,226
event_name_2,43
event_type_2,16
