name,imp
item_id,101887
tm_w,21394
tm_d,20799
event_name_1,19916
rolling_std_180,19813
rolling_mean_180,19781
rolling_std_60,19119
rolling_std_30,18547
rolling_std_14,18377
rolling_std_7,18262
rolling_mean_tmp_1_7,18153
rolling_mean_tmp_1_14,17210
rolling_mean_tmp_14_14,16176
rolling_mean_60,16064
rolling_mean_tmp_7_7,15524
rolling_mean_tmp_7_14,15368
rolling_mean_tmp_14_7,14863
rolling_mean_30,14391
rolling_mean_tmp_1_30,14173
rolling_mean_14,13955
rolling_mean_tmp_14_30,13442
rolling_mean_tmp_7_30,13129
rolling_mean_tmp_14_60,13074
tm_dw,12995
rolling_mean_tmp_1_60,12925
rolling_mean_tmp_7_60,12608
rolling_mean_7,12391
price_momentum_m,11830
enc_item_id_store_id_std,10367
enc_item_id_store_id_mean,9256
sales_lag_39,8659
sales_lag_42,8499
tm_m,8489
sales_lag_41,8394
sales_lag_40,8242
sales_lag_37,8220
sales_lag_28,8198
sales_lag_35,8172
sales_lag_34,8162
sales_lag_32,8151
sales_lag_38,8118
sales_lag_30,8000
sales_lag_33,7942
sales_lag_36,7921
sales_lag_31,7866
sales_lag_29,7727
price_min,7044
sell_price,6806
price_std,6713
item_nunique,6699
release,6170
tm_y,5915
price_mean,5582
price_max,5260
price_momentum_y,4776
price_norm,4099
tm_wm,3614
snap_TX,2304
snap_WI,2279
price_nunique,1869
tm_w_end,1698
snap_CA,1446
dept_id,922
price_momentum,911
event_type_1,609
enc_store_id_dept_id_mean,481
enc_store_id_dept_id_std,208
event_type_2,37
event_name_2,9
