name,imp
item_id,128177
event_name_1,32959
tm_w,20517
tm_d,20160
rolling_mean_tmp_1_7,17806
rolling_mean_180,17430
rolling_std_180,16958
rolling_std_7,16455
rolling_std_60,16449
rolling_mean_tmp_7_7,14940
rolling_std_30,14636
rolling_mean_tmp_1_14,14437
rolling_std_14,14044
rolling_mean_tmp_14_14,13700
rolling_mean_60,13678
rolling_mean_tmp_14_7,13543
rolling_mean_tmp_7_14,13428
tm_dw,12225
rolling_mean_tmp_1_30,11702
price_momentum_m,11626
rolling_mean_30,11237
rolling_mean_14,10986
rolling_mean_7,10805
rolling_mean_tmp_14_60,10754
rolling_mean_tmp_7_30,10680
rolling_mean_tmp_1_60,10546
rolling_mean_tmp_14_30,10498
enc_item_id_store_id_std,9903
rolling_mean_tmp_7_60,9681
sales_lag_42,9102
enc_item_id_store_id_mean,9080
sales_lag_28,8864
sales_lag_39,8831
sales_lag_37,8677
sales_lag_38,8521
sales_lag_35,8519
sales_lag_41,8473
sales_lag_40,8458
sales_lag_33,8394
item_nunique,8386
sales_lag_31,8314
sales_lag_34,8306
sales_lag_36,8274
sales_lag_32,8184
sales_lag_30,8000
sales_lag_29,7969
price_std,7880
tm_m,7869
price_norm,6868
sell_price,6665
price_momentum_y,6520
release,6275
price_mean,6214
price_max,6183
price_min,6168
tm_y,5875
tm_wm,3335
price_nunique,3171
dept_id,2820
price_momentum,2449
snap_WI,2014
snap_TX,2009
tm_w_end,1569
snap_CA,1474
enc_store_id_dept_id_mean,1022
event_type_1,849
enc_store_id_dept_id_std,433
event_name_2,16
event_type_2,10
