name,imp
item_id,116917
event_name_1,29626
tm_d,24175
tm_w,24049
rolling_mean_180,18920
rolling_std_180,17975
rolling_mean_tmp_1_7,16845
rolling_std_60,16296
rolling_std_7,15519
rolling_mean_tmp_7_7,15137
rolling_std_30,14827
rolling_std_14,14749
rolling_mean_tmp_1_14,14317
rolling_mean_60,14165
tm_dw,13758
rolling_mean_tmp_7_14,13405
rolling_mean_tmp_14_14,13344
rolling_mean_tmp_14_7,13199
rolling_mean_tmp_1_30,11744
rolling_mean_30,11702
rolling_mean_tmp_14_60,11614
price_momentum_m,11430
rolling_mean_tmp_1_60,11370
rolling_mean_14,11226
rolling_mean_tmp_14_30,11089
rolling_mean_7,10914
rolling_mean_tmp_7_60,10866
rolling_mean_tmp_7_30,10862
enc_item_id_store_id_std,9919
enc_item_id_store_id_mean,9689
tm_m,9517
item_nunique,9384
sales_lag_35,8740
sales_lag_42,8713
sales_lag_41,8696
release,8567
sales_lag_28,8442
sales_lag_37,8427
sales_lag_39,8389
sales_lag_38,8310
sales_lag_40,8222
sales_lag_36,8140
sales_lag_34,8082
sales_lag_30,8076
sales_lag_33,8074
sales_lag_31,8040
sales_lag_29,8032
sales_lag_32,7914
price_std,7790
price_min,7233
tm_y,7101
sell_price,6847
price_max,6306
price_mean,5832
price_norm,5723
price_momentum_y,4812
tm_wm,4314
snap_TX,2450
snap_WI,2373
price_nunique,2309
tm_w_end,1961
snap_CA,1687
price_momentum,1362
event_type_1,975
dept_id,878
enc_store_id_dept_id_mean,413
enc_store_id_dept_id_std,160
event_name_2,40
event_type_2,21
