name,imp
item_id,110229
event_name_1,30573
tm_w,25921
tm_d,24754
rolling_std_180,23897
rolling_mean_180,23807
rolling_std_60,22286
rolling_std_30,20022
rolling_mean_60,17871
rolling_std_14,17685
rolling_mean_tmp_14_60,15132
rolling_mean_tmp_1_60,14913
tm_dw,14836
rolling_std_7,14758
rolling_mean_tmp_7_60,14045
rolling_mean_tmp_1_14,13947
rolling_mean_tmp_1_7,13900
rolling_mean_tmp_1_30,13840
rolling_mean_30,13575
rolling_mean_tmp_14_30,13243
rolling_mean_tmp_7_14,12729
rolling_mean_tmp_7_30,12726
rolling_mean_tmp_14_14,12605
enc_item_id_store_id_std,12519
enc_item_id_store_id_mean,11944
item_nunique,11559
rolling_mean_tmp_7_7,11229
price_momentum_m,11100
rolling_mean_14,11051
rolling_mean_tmp_14_7,10836
release,10736
tm_m,10098
price_std,9330
rolling_mean_7,9276
price_min,8324
sell_price,8259
price_max,7528
tm_y,7507
price_mean,6772
sales_lag_40,5445
sales_lag_42,5334
sales_lag_41,5322
sales_lag_29,5300
sales_lag_37,5258
sales_lag_36,5257
sales_lag_38,5170
sales_lag_33,5130
sales_lag_39,5127
sales_lag_34,5106
sales_lag_35,5077
sales_lag_32,5065
sales_lag_31,5038
sales_lag_28,5026
sales_lag_30,4944
price_norm,4744
price_momentum_y,4693
tm_wm,4177
snap_WI,2653
snap_TX,2574
price_nunique,2228
tm_w_end,1870
snap_CA,1841
dept_id,1312
price_momentum,996
event_type_1,929
enc_store_id_dept_id_mean,700
enc_store_id_dept_id_std,242
event_name_2,42
event_type_2,38
