name,imp
item_id,123264
event_name_1,29205
tm_w,18150
tm_d,17660
rolling_mean_tmp_7_7,16516
rolling_mean_tmp_1_7,16478
rolling_mean_180,14594
sales_lag_35,13774
rolling_std_7,13645
rolling_mean_tmp_14_7,13376
sales_lag_39,13134
sales_lag_32,12982
sales_lag_34,12823
sales_lag_28,12789
sales_lag_36,12784
sales_lag_41,12771
rolling_mean_tmp_14_14,12704
rolling_mean_tmp_1_14,12653
sales_lag_42,12613
sales_lag_37,12588
rolling_mean_tmp_7_14,12530
sales_lag_40,12527
rolling_std_180,12483
sales_lag_33,12453
sales_lag_30,12453
sales_lag_29,12434
sales_lag_38,12296
rolling_mean_60,12219
sales_lag_31,12143
rolling_mean_7,11838
rolling_std_60,11357
tm_dw,11305
rolling_std_14,10797
rolling_mean_14,10496
rolling_std_30,10469
price_momentum_m,10328
rolling_mean_30,9912
rolling_mean_tmp_1_30,9594
rolling_mean_tmp_14_60,9359
enc_item_id_store_id_std,8748
rolling_mean_tmp_7_30,8724
rolling_mean_tmp_14_30,8546
rolling_mean_tmp_7_60,8506
rolling_mean_tmp_1_60,8479
enc_item_id_store_id_mean,7720
item_nunique,7378
price_momentum_y,6854
tm_m,6798
price_std,6770
sell_price,6752
price_norm,6466
release,6096
price_min,5888
price_max,5824
price_mean,5645
tm_y,5193
tm_wm,2958
dept_id,2676
snap_WI,2572
price_momentum,2466
price_nunique,2453
snap_TX,2055
tm_w_end,1470
snap_CA,1306
enc_store_id_dept_id_mean,969
event_type_1,723
enc_store_id_dept_id_std,404
event_name_2,43
event_type_2,22
