name,imp
item_id,90390
rolling_mean_tmp_1_7,20344
tm_w,19692
tm_d,19025
rolling_std_7,18967
event_name_1,18873
rolling_std_180,18101
rolling_mean_tmp_1_14,17614
rolling_std_14,17535
rolling_mean_tmp_7_7,17523
rolling_mean_180,17413
rolling_std_60,17270
rolling_std_30,16997
rolling_mean_tmp_14_7,16906
rolling_mean_tmp_14_14,16563
rolling_mean_tmp_7_14,16014
rolling_mean_7,14916
rolling_mean_14,14516
rolling_mean_60,14295
rolling_mean_30,14064
rolling_mean_tmp_1_30,13449
rolling_mean_tmp_14_30,13328
rolling_mean_tmp_7_30,12647
tm_dw,11953
rolling_mean_tmp_14_60,11474
rolling_mean_tmp_7_60,11344
rolling_mean_tmp_1_60,11295
sales_lag_39,11186
sales_lag_42,11107
price_momentum_m,10943
sales_lag_36,10889
sales_lag_41,10815
sales_lag_35,10631
sales_lag_31,10630
sales_lag_28,10614
sales_lag_30,10486
sales_lag_40,10460
sales_lag_38,10419
sales_lag_32,10411
sales_lag_34,10311
sales_lag_33,10282
sales_lag_29,10269
sales_lag_37,10222
enc_item_id_store_id_std,9433
enc_item_id_store_id_mean,8230
tm_m,7601
price_std,6161
sell_price,6052
item_nunique,5818
release,5417
price_min,5292
tm_y,5245
price_max,4670
price_mean,4613
price_momentum_y,4278
price_norm,3274
tm_wm,3112
snap_TX,1959
snap_WI,1949
tm_w_end,1511
price_nunique,1464
snap_CA,1304
price_momentum,806
dept_id,601
event_type_1,564
enc_store_id_dept_id_mean,326
enc_store_id_dept_id_std,107
event_name_2,19
event_type_2,11
