name,imp
item_id,101618
tm_w,22173
tm_d,21915
rolling_mean_180,20923
rolling_std_180,20536
rolling_std_60,19695
event_name_1,19542
rolling_std_30,18617
rolling_std_14,18285
rolling_std_7,17835
rolling_mean_tmp_1_7,17438
rolling_mean_tmp_1_14,16986
rolling_mean_60,16553
rolling_mean_tmp_14_14,15904
rolling_mean_tmp_7_14,15408
rolling_mean_tmp_7_7,15072
rolling_mean_30,15006
rolling_mean_tmp_1_30,14874
rolling_mean_tmp_14_30,14362
rolling_mean_tmp_14_60,14141
rolling_mean_tmp_14_7,14043
rolling_mean_tmp_7_30,13940
rolling_mean_tmp_1_60,13917
tm_dw,13489
rolling_mean_14,13468
rolling_mean_tmp_7_60,13195
price_momentum_m,13055
rolling_mean_7,12168
enc_item_id_store_id_std,10139
enc_item_id_store_id_mean,9330
tm_m,8664
sales_lag_32,7578
sales_lag_38,7551
sales_lag_42,7502
sales_lag_39,7478
sales_lag_35,7450
sales_lag_37,7438
item_nunique,7369
sales_lag_31,7350
sales_lag_28,7278
sales_lag_36,7266
sales_lag_41,7163
price_std,7157
sales_lag_40,7115
sell_price,7082
sales_lag_29,7060
sales_lag_33,7048
sales_lag_34,7019
sales_lag_30,6980
release,6803
price_min,6673
tm_y,5936
price_mean,5713
price_max,5565
price_momentum_y,5539
price_norm,5160
tm_wm,3710
snap_TX,2502
snap_WI,2362
price_nunique,2219
tm_w_end,1636
snap_CA,1565
price_momentum,1126
dept_id,972
event_type_1,611
enc_store_id_dept_id_mean,524
enc_store_id_dept_id_std,198
event_type_2,10
event_name_2,1
