name,imp
item_id,93883
rolling_mean_tmp_1_7,19781
event_name_1,19473
tm_w,19328
tm_d,18860
rolling_std_7,18245
rolling_mean_tmp_7_7,17560
rolling_mean_180,17465
rolling_mean_tmp_1_14,17174
rolling_std_180,17070
rolling_std_14,16869
rolling_std_60,16751
rolling_std_30,16644
rolling_mean_tmp_14_7,16583
rolling_mean_tmp_14_14,15671
rolling_mean_tmp_7_14,15240
rolling_mean_7,14529
rolling_mean_14,14088
rolling_mean_60,13864
rolling_mean_30,13463
rolling_mean_tmp_1_30,12307
rolling_mean_tmp_14_30,12126
sales_lag_35,11774
sales_lag_39,11682
sales_lag_40,11493
sales_lag_37,11465
rolling_mean_tmp_7_30,11451
sales_lag_42,11440
tm_dw,11420
price_momentum_m,11267
sales_lag_30,11208
sales_lag_31,11176
sales_lag_34,11108
sales_lag_33,11087
sales_lag_32,10996
sales_lag_41,10992
sales_lag_38,10983
rolling_mean_tmp_14_60,10954
sales_lag_36,10939
sales_lag_28,10841
sales_lag_29,10800
rolling_mean_tmp_1_60,10538
rolling_mean_tmp_7_60,10057
enc_item_id_store_id_std,8947
enc_item_id_store_id_mean,8263
tm_m,7561
item_nunique,6102
price_std,6039
sell_price,5957
release,5410
price_min,5402
tm_y,5203
price_momentum_y,5006
price_max,4597
price_mean,4277
price_norm,3937
tm_wm,3212
snap_TX,2065
price_nunique,1992
snap_WI,1961
tm_w_end,1446
snap_CA,1322
price_momentum,756
dept_id,754
event_type_1,580
enc_store_id_dept_id_mean,399
enc_store_id_dept_id_std,156
event_name_2,8
event_type_2,3
