name,imp
item_id,120108
event_name_1,30014
tm_w,24969
tm_d,24593
rolling_mean_180,21077
rolling_std_180,20364
rolling_std_60,18352
rolling_std_30,16586
rolling_mean_60,15981
rolling_mean_tmp_1_7,15589
rolling_std_14,15184
rolling_std_7,14893
rolling_mean_tmp_1_14,14053
tm_dw,14022
rolling_mean_tmp_7_7,13671
rolling_mean_tmp_14_60,13129
rolling_mean_tmp_7_14,13012
rolling_mean_30,12994
rolling_mean_tmp_14_14,12972
rolling_mean_tmp_1_60,12665
rolling_mean_tmp_1_30,12476
rolling_mean_tmp_7_60,12369
rolling_mean_tmp_14_7,12120
rolling_mean_tmp_14_30,11842
price_momentum_m,11726
rolling_mean_tmp_7_30,11688
rolling_mean_14,11352
enc_item_id_store_id_mean,10988
enc_item_id_store_id_std,10959
rolling_mean_7,10427
item_nunique,10330
tm_m,9915
release,9057
price_std,8738
price_min,8527
sell_price,7646
tm_y,7241
sales_lag_42,7132
sales_lag_39,6832
sales_lag_41,6819
price_max,6729
sales_lag_28,6663
sales_lag_37,6660
sales_lag_40,6614
price_mean,6599
sales_lag_32,6528
sales_lag_30,6496
sales_lag_36,6466
sales_lag_29,6444
sales_lag_35,6435
sales_lag_38,6389
sales_lag_34,6314
sales_lag_31,6306
sales_lag_33,6048
price_momentum_y,5062
price_norm,4810
tm_wm,4226
snap_WI,2504
snap_TX,2497
price_nunique,2292
tm_w_end,1960
snap_CA,1730
price_momentum,1073
dept_id,1016
event_type_1,928
enc_store_id_dept_id_mean,565
enc_store_id_dept_id_std,198
event_name_2,21
event_type_2,15
