name,imp
item_id,98675
tm_d,23110
tm_w,22984
rolling_mean_180,21735
rolling_std_180,21122
rolling_std_60,20911
rolling_std_30,19066
event_name_1,18648
rolling_std_14,18232
rolling_mean_60,17599
rolling_mean_tmp_1_14,17549
rolling_mean_tmp_1_7,16850
rolling_std_7,16762
rolling_mean_tmp_14_14,15937
rolling_mean_tmp_7_14,15644
rolling_mean_tmp_1_30,15269
rolling_mean_30,15039
rolling_mean_tmp_14_60,14916
rolling_mean_tmp_1_60,14564
rolling_mean_tmp_14_30,14541
rolling_mean_tmp_7_7,14190
tm_dw,14160
rolling_mean_tmp_7_30,14153
rolling_mean_tmp_7_60,13946
rolling_mean_14,13668
rolling_mean_tmp_14_7,13628
price_momentum_m,12565
rolling_mean_7,12153
enc_item_id_store_id_std,10656
enc_item_id_store_id_mean,9820
tm_m,8914
item_nunique,7778
sales_lag_41,7479
sales_lag_39,7425
sales_lag_37,7152
sales_lag_28,7142
sales_lag_35,7117
sales_lag_42,7107
price_std,7107
sales_lag_34,7087
sales_lag_36,7043
sales_lag_31,7041
sales_lag_29,7012
release,6980
sales_lag_30,6958
sales_lag_33,6929
sales_lag_40,6910
sales_lag_32,6889
sales_lag_38,6774
sell_price,6746
price_min,6504
tm_y,6446
price_mean,5219
price_max,5197
price_momentum_y,4993
price_norm,4299
tm_wm,3936
snap_TX,2674
snap_WI,2459
price_nunique,1905
tm_w_end,1762
snap_CA,1661
price_momentum,1079
event_type_1,680
enc_store_id_dept_id_mean,675
dept_id,505
enc_store_id_dept_id_std,320
event_type_2,4
event_name_2,0
